US1MNHN0184,20170101,PRCP,0,,,N,
US1MNHN0184,20170101,SNOW,0,,,N,
US1MNHN0184,20170101,SNWD,274,,,N,
US1MNWR0029,20170101,PRCP,0,,,N,
CA1MB000296,20170101,PRCP,0,,,N,
ASN00015643,20170101,TMAX,274,,,a,
ASN00015643,20170101,TMIN,218,,,a,
ASN00015643,20170101,PRCP,2,,,a,
US1MNCV0008,20170101,PRCP,0,,,N,
US1MNCV0008,20170101,SNOW,0,,,N,
US1MISW0005,20170101,PRCP,0,,,N,
US1MISW0005,20170101,SNOW,0,,,N,
US1MISW0005,20170101,SNWD,0,,,N,
ASN00085296,20170101,TMAX,217,,,a,
ASN00085296,20170101,TMIN,127,,,a,
ASN00085296,20170101,PRCP,0,,,a,
ASN00085280,20170101,TMAX,215,,,a,
ASN00085280,20170101,TMIN,156,,,a,
US1MAMD0069,20170101,PRCP,56,,,N,
US1LAEB0041,20170101,PRCP,950,,,N,
ASN00040209,20170101,TMAX,293,,,a,
ASN00040209,20170101,TMIN,250,,,a,
ASN00040209,20170101,PRCP,0,,,a,
ASN00085280,20170101,PRCP,0,,,a,
US1KSSG0097,20170101,PRCP,0,,,N,
US1KSSG0097,20170101,SNOW,0,,,N,
US1KSEL0074,20170101,PRCP,0,,,N,
US1KSGO0009,20170101,PRCP,0,,,N,
US1KSGO0009,20170101,SNOW,0,,,N,
US1INNW0001,20170101,PRCP,0,,,N,
US1INNW0001,20170101,SNOW,0,,,N,
US1INNW0001,20170101,SNWD,0,,,N,
US1INKS0032,20170101,PRCP,0,,,N,
US1INKS0032,20170101,SNOW,0,,,N,
ASN00009661,20170101,PRCP,0,,,a,
ASN00078001,20170101,PRCP,0,,,a,
US1INFL0003,20170101,PRCP,0,,,N,
US1INFL0003,20170101,SNOW,0,,,N,
US1INFL0003,20170101,SNWD,0,,,N,
US1ILMG0006,20170101,PRCP,0,,,N,
US1ILMG0006,20170101,SNOW,0,,,N,
US1ILKD0005,20170101,PRCP,0,,,N,
